
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-07-08 20:40:41 /api/health ................................ ~ 500.68ms
  2025-07-08 20:41:03 / .......................................... ~ 500.46ms
  2025-07-08 20:42:21 / ............................................ ~ 0.16ms
  2025-07-08 20:42:21 /favicon.ico ................................. ~ 0.07ms
  2025-07-08 21:01:42 /api/login ................................... ~ 0.17ms
  2025-07-08 21:03:26 /api/login ................................. ~ 500.41ms
  2025-07-08 21:03:43 /api/login ................................... ~ 0.15ms
  2025-07-08 21:06:39 /api/login ................................... ~ 0.16ms
  2025-07-08 21:07:13 /api/login ................................... ~ 0.18ms
  2025-07-08 21:08:04 /api/login ................................... ~ 0.17ms
  2025-07-08 21:09:24 /api/login ................................... ~ 0.24ms
  2025-07-08 21:09:24 /api/login ................................. ~ 500.62ms
  2025-07-08 21:09:24 /api/login ...................................... ~ 10s
  2025-07-08 21:09:35 /api/login ................................... ~ 0.17ms
  2025-07-08 21:09:35 /api/login ....................................... ~ 5s
  2025-07-08 21:09:41 /api/login ................................. ~ 500.46ms
  2025-07-08 21:09:42 /api/venda/ ..................................... ~ 13s
  2025-07-08 21:10:00 /api/venda/ .................................. ~ 0.15ms
  2025-07-08 21:10:00 /api/venda/ .................................. ~ 0.05ms
  2025-07-08 21:10:00 /api/venda/ ...................................... ~ 2s
  2025-07-08 21:10:04 /api/jogos/ .................................. ~ 0.16ms
  2025-07-08 21:10:04 /api/venda/ ...................................... ~ 1s
  2025-07-08 21:10:06 /api/jogos/ .................................. ~ 0.15ms
  2025-07-08 21:10:07 /api/jogos ....................................... ~ 5s
  2025-07-08 21:10:12 /api/jogos ................................... ~ 0.05ms
  2025-07-08 21:10:13 /api/jogos/ ...................................... ~ 1s
  2025-07-08 21:10:17 /api/jogos/ .................................. ~ 0.18ms
  2025-07-08 21:10:17 /api/venda/ .................................. ~ 0.13ms
  2025-07-08 21:10:21 /api/venda/ .................................. ~ 0.16ms
  2025-07-08 21:10:21 /api/jogos/ ................................ ~ 500.36ms
  2025-07-08 21:10:23 /api/venda/ .................................. ~ 0.14ms
  2025-07-08 21:10:24 /api/jogos/ ...................................... ~ 1s
